CO2_EMISS_CURR_PER_FLOOR_AREA,ENERGY_CONSUMPTION_POTENTIAL,CO2_EMISSIONS_CURRENT,CO2_EMISSIONS_POTENTIAL,ENVIRONMENT_IMPACT_POTENTIAL,MAINHEAT_ENV_EFF,MAINHEAT_ENERGY_EFF,CURRENT_ENERGY_EFFICIENCY,LIGHTING_COST_CURRENT,MAINS_GAS_FLAG,HOT_WATER_ENV_EFF,FLOOR_HEIGHT,POTENTIAL_ENERGY_EFFICIENCY,CURRENT_ENERGY_RATING,HOT_WATER_COST_CURRENT,MAINHEATC_ENERGY_EFF,ENERGY_CONSUMPTION_CURRENT
31,178,1.9,1.9,75,1,1,75,58,1,1,2.4,75,2,80,1,178
38,148,2.9,2.0,78,1,1,70,65,1,1,2.33,78,2,166,1,217
33,123,4.3,2.8,76,1,1,70,85,1,1,2.4,81,2,107,1,189
31,98,3.1,1.8,79,1,1,71,83,1,1,2.39,83,2,85,1,175
36,74,2.4,0.9,88,1,1,71,93,1,1,2.31,88,2,127,1,202
30,74,2.6,1.2,86,1,1,74,69,1,1,2.4,87,2,124,1,170
43,113,2.6,1.2,83,1,1,68,52,1,1,2.3,85,3,108,1,246
34,166,1.6,1.4,78,1,1,73,44,1,1,2.39,76,2,73,1,193
39,156,1.7,1.2,82,1,1,73,40,1,1,2.3,78,2,92,1,223
43,149,3.2,1.9,78,1,1,68,65,1,1,2.36,77,3,138,1,243
61,157,3.4,1.6,78,1,1,60,48,1,1,2.41,81,3,84,1,343
14,36,0.7,0.4,94,1,1,73,44,1,1,2.36,76,2,105,1,76
26,132,1.2,1.1,84,1,1,79,47,1,1,2.38,80,2,85,1,147
37,70,2.3,0.8,89,1,1,72,56,1,1,2.34,89,2,132,1,211
25,142,1.6,1.6,80,1,1,78,67,1,1,2.28,78,2,86,1,142
32,58,1.7,0.6,89,1,1,74,51,1,1,2.38,89,2,83,1,182
40,146,4.7,3.0,72,1,1,65,137,1,1,2.4,78,3,147,1,228
22,114,2.5,2.3,78,1,1,79,90,1,1,2.27,81,2,123,1,124
16,92,1.0,1.0,87,1,1,83,56,1,1,2.34,83,1,71,1,92
38,120,4.4,2.4,77,1,1,67,93,1,1,2.4,81,3,130,1,216
46,168,4.1,2.7,73,1,1,65,71,1,1,2.47,78,3,122,1,262
44,105,5.6,2.4,79,1,1,61,117,1,1,2.44,83,3,143,1,251
30,92,3.3,1.8,81,1,1,73,84,1,1,2.42,84,2,124,1,169
40,155,4.8,3.3,70,1,1,65,148,1,1,2.24,77,3,106,1,227
58,186,4.2,2.4,68,1,1,56,61,1,1,2.37,75,3,114,1,331
37,94,3.7,1.7,83,1,1,69,86,1,1,2.35,86,2,127,1,212
29,83,3.4,1.8,82,1,1,73,85,1,1,2.4,85,2,146,1,164
26,78,2.6,1.4,84,1,1,76,106,1,1,2.4,86,2,94,1,146
53,105,4.0,1.4,81,1,1,56,111,1,1,2.4,82,3,75,1,304
40,190,1.7,1.5,78,1,1,72,39,1,1,2.4,75,2,78,1,225
25,80,2.9,1.7,84,1,1,77,91,1,1,2.345,87,2,121,1,141
23,60,2.2,1.0,87,1,1,77,80,1,1,2.39,88,2,98,1,134
36,177,1.9,1.6,77,1,1,73,45,1,1,2.36,76,2,75,1,205
25,48,1.9,0.7,90,1,1,77,68,1,1,2.34,90,2,104,1,140
39,64,2.2,0.7,89,1,1,70,49,1,1,2.35,89,2,114,1,220
37,119,6.3,3.6,74,1,1,65,154,1,1,2.4,80,3,138,1,212
34,109,7.1,4.2,77,1,1,69,201,1,1,2.52,82,2,126,1,189
42,65,1.8,0.5,91,1,1,71,42,1,1,2.39,90,2,73,1,239
26,150,1.5,1.5,79,1,1,77,51,1,1,2.39,77,2,84,1,150
44,115,4.5,2.1,80,1,1,65,78,1,1,2.44,83,3,125,1,249
41,68,3.0,0.9,89,1,1,68,92,1,1,2.4,89,3,90,1,230
35,196,2.3,2.3,70,1,1,72,63,1,1,2.25,72,2,86,1,196
38,132,5.0,3.3,72,1,1,66,146,1,1,2.4,78,3,170,1,206
20,116,1.0,1.0,85,1,1,81,49,1,1,2.4,81,1,88,1,116
21,61,2.4,1.3,86,1,1,78,90,1,1,2.37,88,2,100,1,120
28,110,3.9,2.7,78,1,1,74,96,1,1,2.44,82,2,91,1,160
38,83,3.0,1.2,86,1,1,70,64,1,1,2.36,87,2,87,1,217
23,23,1.4,0.2,94,1,1,78,52,1,1,2.2,92,2,80,1,136
47,80,3.7,1.2,87,1,1,65,65,1,1,2.41,88,3,120,1,265
44,146,4.6,2.7,71,1,1,62,100,1,1,2.4,77,3,99,1,249
40,96,3.8,1.7,82,1,1,67,75,1,1,2.4,84,3,166,1,227
39,104,4.9,2.4,78,1,1,66,89,1,1,2.33,82,3,149,1,218
44,150,5.9,3.6,71,1,1,62,133,1,1,2.4,77,3,114,1,251
29,152,1.7,1.6,79,1,1,76,54,1,1,2.4,77,2,127,1,162
46,164,4.0,2.6,73,1,1,65,69,1,1,2.41,78,3,122,1,260
68,157,4.9,2.0,74,1,1,51,61,1,1,2.4,78,4,122,1,384
50,184,5.7,3.7,65,1,1,58,85,1,1,2.4,73,3,111,1,286
36,159,2.7,2.0,77,1,1,72,63,1,1,2.36,77,2,135,1,206
42,90,3.7,1.5,81,1,1,64,71,1,1,2.37,83,3,101,1,231
32,89,2.9,1.5,83,1,1,72,93,1,1,2.42,85,2,116,1,181
22,51,2.0,0.9,90,1,1,79,78,1,1,2.29,90,2,88,1,124
47,67,2.7,0.7,88,1,1,65,64,1,1,2.47,88,3,118,1,267
40,85,3.4,1.3,85,1,1,68,84,1,1,2.3,87,3,83,1,228
29,143,2.3,2.0,78,1,1,76,69,1,1,2.31,78,2,85,1,163
21,121,1.0,1.0,85,1,1,80,49,1,1,2.37,80,2,74,1,121
36,126,5.5,3.4,74,1,1,68,160,1,1,2.37,80,3,132,1,205
26,57,2.0,0.8,89,1,1,77,69,1,1,2.4,89,2,105,1,146
38,73,2.1,0.8,88,1,1,71,48,1,1,2.36,88,2,77,1,215
28,60,2.4,0.9,88,1,1,74,77,1,1,2.4,89,2,140,1,160
26,147,1.2,1.2,81,1,1,78,42,1,1,2.4,78,2,68,1,147
24,90,3.5,2.3,82,1,1,77,98,1,1,2.3,85,2,122,1,139
42,174,2.3,1.7,75,1,1,68,49,1,1,2.41,74,3,70,1,238
40,74,2.1,0.7,88,1,1,70,47,1,1,2.3,88,2,109,1,224
32,111,6.3,3.9,76,1,1,69,126,1,1,2.39,81,2,157,1,183
59,172,3.3,1.7,77,1,1,61,58,1,1,2.38,76,3,83,1,333
44,109,3.8,1.7,80,1,1,62,67,1,1,2.4,81,3,92,1,250
43,132,5.0,2.8,76,1,1,65,105,1,1,2.4,81,3,178,1,242
48,184,2.0,1.4,78,1,1,68,37,1,1,2.4,75,3,70,1,273
41,142,2.5,1.5,79,1,1,68,68,1,1,2.4,78,3,89,1,232
50,114,3.9,1.6,80,1,1,61,71,1,1,2.41,83,3,121,1,283
29,117,5.2,3.7,76,1,1,73,106,1,1,2.4,81,2,138,1,167
56,180,2.0,1.1,81,1,1,66,33,1,1,2.37,76,3,74,1,318
44,97,3.3,1.3,83,1,1,65,91,1,1,2.42,85,3,80,1,250
32,97,2.7,1.5,84,1,1,74,67,1,1,2.31,86,2,122,1,180
25,127,1.7,1.5,82,1,1,78,59,1,1,2.45,80,2,84,1,141
25,141,0.7,0.7,85,1,1,79,30,1,1,2.4,79,2,64,1,141
28,159,1.4,1.4,80,1,1,77,50,1,1,2.3,77,2,70,1,159
37,103,2.6,1.3,83,1,1,71,60,1,1,2.4,85,2,90,1,211
44,172,2.6,1.8,75,1,1,67,60,1,1,2.4,74,3,81,1,247
29,106,3.8,2.5,79,1,1,73,91,1,1,2.4,83,2,148,1,162
49,109,5.0,2.1,79,1,1,59,114,1,1,2.39,82,3,101,1,269
39,126,2.8,1.6,81,1,1,70,59,1,1,2.42,83,2,116,1,222
28,155,1.6,1.6,78,1,1,76,68,1,1,2.4,77,2,115,1,159
36,118,4.8,2.4,80,1,1,65,92,1,1,2.41,81,3,147,1,226
34,83,2.8,1.3,84,1,1,70,68,1,1,2.29,86,2,88,1,195
36,111,4.4,2.6,77,1,1,68,89,1,1,2.45,81,3,157,1,197
37,117,6.3,2.9,79,1,1,57,173,1,1,2.4,78,3,123,1,247
38,114,3.3,1.9,77,1,1,67,70,1,1,2.46,80,3,94,1,209
22,93,5.7,4.2,78,1,1,77,131,1,1,2.4,83,2,140,1,127
50,172,3.6,2.2,74,1,1,64,60,1,1,2.41,78,3,91,1,281
30,76,2.6,1.2,85,1,1,73,99,1,1,2.32,87,2,89,1,172
23,128,1.1,1.1,85,1,1,80,45,1,1,2.2,80,2,71,1,128
42,99,3.4,1.5,82,1,1,66,68,1,1,2.26,84,3,99,1,236
38,110,3.2,1.7,82,1,1,69,140,1,1,2.38,84,2,119,1,216
33,103,4.3,2.4,81,1,1,72,86,1,1,2.4,84,2,131,1,186
43,112,5.7,2.6,76,1,1,61,117,1,1,2.44,81,3,130,1,245
28,96,4.1,2.5,80,1,1,72,146,1,1,2.35,82,2,116,1,158
32,164,1.9,1.7,77,1,1,74,53,1,1,2.4,76,2,93,1,182
35,81,2.2,0.9,86,1,1,72,55,1,1,2.36,87,2,75,1,199
42,83,2.4,0.9,88,1,1,70,47,1,1,2.4,88,2,82,1,236
27,138,1.9,1.7,79,1,1,76,65,1,1,2.3,78,2,75,1,154
63,166,5.4,2.5,70,1,1,52,100,1,1,2.42,77,4,91,1,358
34,196,1.4,1.4,77,1,1,73,36,1,1,2.4,73,2,65,1,196
38,92,2.8,1.2,83,1,1,69,62,1,1,2.34,85,2,85,1,213
55,188,2.0,1.2,80,1,1,66,33,1,1,2.37,76,3,75,1,313
38,96,3.3,1.5,83,1,1,68,139,1,1,2.34,85,3,133,1,214
30,44,1.6,0.4,91,1,1,75,50,1,1,2.4,90,2,104,1,173
34,104,2.9,1.6,81,1,1,71,68,1,1,2.4,84,2,89,1,191
40,177,2.5,1.9,76,1,1,71,52,1,1,2.43,76,2,116,1,229
31,64,2.1,0.8,88,1,1,74,58,1,1,2.38,89,2,110,1,178
44,85,8.4,2.9,80,1,1,50,228,1,1,2.41,79,4,162,1,251
44,115,7.8,3.6,76,1,1,61,143,1,1,2.4,81,3,128,1,251
49,185,2.4,1.6,77,1,1,67,43,1,1,2.4,75,3,77,1,278
30,112,6.5,3.5,81,1,1,65,204,1,1,2.43,80,3,145,1,202
43,106,8.6,3.8,78,1,1,62,172,1,1,2.34,82,3,88,1,243
23,64,2.6,1.3,86,1,1,77,118,1,1,2.4,88,2,124,1,133
24,34,1.6,0.4,94,1,1,79,61,1,1,2.41,92,2,114,1,139
32,79,2.6,1.1,85,1,1,72,66,1,1,2.4,87,2,124,1,184
25,56,2.2,0.9,89,1,1,77,77,1,1,2.27,89,2,98,1,142
27,153,0.9,0.9,83,1,1,78,36,1,1,2.39,78,2,71,1,153
36,104,3.3,1.7,82,1,1,70,90,1,1,2.4,85,2,101,1,205
33,103,3.3,1.8,82,1,1,72,83,1,1,2.4,84,2,135,1,189
35,91,2.5,1.2,86,1,1,72,61,1,1,2.46,87,2,80,1,200
47,88,4.0,1.4,85,1,1,64,114,1,1,2.3,86,3,113,1,267
36,125,4.2,2.6,77,1,1,69,127,1,1,2.52,82,2,130,1,207
40,107,3.9,1.9,81,1,1,68,93,1,1,2.43,84,3,112,1,226
43,126,7.4,3.9,74,1,1,62,158,1,1,2.4,80,3,138,1,241
40,107,3.1,1.5,81,1,1,66,65,1,1,2.41,82,3,132,1,228
25,48,1.9,0.7,90,1,1,77,68,1,1,2.34,90,2,104,1,140
20,104,1.5,1.4,83,1,1,80,71,1,1,2.46,81,2,76,1,113
33,113,5.0,3.1,78,1,1,71,119,1,1,2.53,82,2,130,1,186
54,80,3.8,1.0,86,1,1,60,77,1,1,2.45,87,3,137,1,307
39,94,2.8,1.3,85,1,1,70,62,1,1,2.45,86,2,152,1,219
40,94,3.9,1.7,82,1,1,66,98,1,1,2.33,84,3,135,1,224
31,111,4.1,2.3,81,1,1,69,155,1,1,2.37,82,2,132,1,190
41,79,3.4,1.2,85,1,1,67,67,1,1,2.45,87,3,124,1,234
36,108,3.2,1.7,82,1,1,71,71,1,1,2.47,84,2,123,1,204
47,56,2.8,0.6,89,1,1,65,52,1,1,2.4,89,3,75,1,268
26,64,2.6,1.1,86,1,1,75,73,1,1,2.4,88,2,91,1,147
27,89,2.9,1.7,81,1,1,74,82,1,1,2.4,84,2,101,1,155
14,42,2.0,1.1,92,1,1,85,93,1,1,2.54,92,1,73,1,82
34,53,1.9,0.6,90,1,1,73,49,1,1,2.35,90,2,123,1,195
48,73,3.5,1.0,88,1,1,64,61,1,1,2.38,88,3,86,1,273
38,100,3.6,1.7,82,1,1,69,73,1,1,2.4,85,2,93,1,218
43,173,4.8,3.4,70,1,1,65,82,1,1,2.41,76,3,126,1,246
37,129,6.9,4.3,74,1,1,67,110,1,1,2.36,80,3,95,1,212
39,138,3.9,2.4,75,1,1,67,78,1,1,2.3,79,3,105,1,222
25,141,1.3,1.3,82,1,1,79,49,1,1,2.36,79,2,80,1,141
23,47,2.1,0.8,90,1,1,78,79,1,1,2.38,90,2,98,1,129
31,76,2.5,1.1,86,1,1,73,70,1,1,2.33,87,2,120,1,173
39,90,3.8,1.6,83,1,1,67,143,1,1,2.4,85,3,87,1,220
35,132,5.4,3.8,72,1,1,67,160,1,1,2.32,78,3,101,1,193
32,96,3.0,1.6,82,1,1,72,76,1,1,2.4,84,2,104,1,181
41,115,5.4,2.7,77,1,1,64,135,1,1,2.38,81,3,107,1,230
35,184,1.0,0.9,83,1,1,76,31,1,1,2.28,77,2,57,1,200
24,137,1.4,1.4,82,1,1,79,56,1,1,2.4,79,2,71,1,137
32,131,3.3,2.0,79,1,1,65,87,1,1,2.4,77,3,112,1,207
40,84,3.1,1.2,85,1,1,68,77,1,1,2.4,86,3,161,1,229
43,86,3.7,1.3,84,1,1,65,94,1,1,2.4,86,3,106,1,246
33,81,2.4,1.1,86,1,1,72,60,1,1,2.36,87,2,87,1,188
48,137,4.2,2.2,76,1,1,62,78,1,1,2.4,80,3,125,1,270
31,140,5.9,4.1,75,1,1,68,117,1,1,2.51,77,3,130,1,196
29,162,2.8,2.8,71,1,1,71,75,1,1,2.4,71,2,105,1,162
60,219,3.8,2.4,70,1,1,59,58,1,1,2.4,71,3,88,1,338
30,81,2.7,1.4,85,1,1,74,74,1,1,2.4,86,2,84,1,169
43,57,2.7,0.7,90,1,1,68,54,1,1,2.4,90,3,142,1,242
32,85,2.7,1.3,83,1,1,72,70,1,1,2.41,85,2,121,1,180
14,46,1.7,1.1,89,1,1,91,98,1,1,2.4,95,1,131,1,72
37,118,4.2,2.1,81,1,1,65,126,1,1,2.4,81,3,168,1,228
30,113,3.6,2.1,81,1,1,71,88,1,1,2.4,82,2,121,1,183
23,71,3.7,2.2,83,1,1,80,106,1,1,2.33,87,2,158,1,126
51,146,5.5,2.8,73,1,1,59,99,1,1,2.4,78,3,105,1,288
36,111,3.1,1.7,82,1,1,71,70,1,1,2.38,84,2,119,1,206
34,104,3.9,2.1,79,1,1,70,83,1,1,2.4,83,2,144,1,192
33,68,2.1,0.8,88,1,1,73,54,1,1,2.4,88,2,108,1,189
36,101,3.1,1.6,81,1,1,69,112,1,1,2.4,84,2,128,1,202
31,79,2.4,1.1,86,1,1,74,70,1,1,2.3,87,2,94,1,173
39,159,2.0,1.4,79,1,1,70,89,1,1,2.4,77,2,83,1,224
42,101,3.6,1.6,83,1,1,67,69,1,1,2.45,85,3,96,1,237
34,91,2.7,1.3,85,1,1,73,64,1,1,2.35,87,2,87,1,193
31,100,4.0,2.4,81,1,1,72,181,1,1,2.4,84,2,139,1,174
22,60,2.4,1.2,87,1,1,78,105,1,1,2.31,88,2,110,1,126
31,93,2.9,1.6,82,1,1,73,85,1,1,2.29,85,2,118,1,175
35,101,2.6,1.2,84,1,1,67,91,1,1,2.4,83,3,85,1,214
40,101,3.1,1.4,82,1,1,66,99,1,1,2.46,83,3,116,1,228
40,80,3.0,1.1,86,1,1,69,70,1,1,2.37,87,2,75,1,226
30,147,2.1,1.8,78,1,1,74,72,1,1,2.54,77,2,80,1,169
32,148,1.9,1.6,78,1,1,73,53,1,1,2.26,77,2,69,1,182
22,102,5.4,4.5,76,1,1,77,129,1,1,2.4,82,2,135,1,126
24,66,2.4,1.2,86,1,1,77,83,1,1,2.29,88,2,107,1,137
36,100,3.3,1.7,81,1,1,69,99,1,1,2.34,84,2,127,1,205
58,56,1.9,0.4,93,1,1,67,30,1,1,2.4,91,3,117,1,326
35,81,3.1,1.3,86,1,1,72,71,1,1,2.24,88,2,95,1,199
35,90,3.4,1.6,83,1,1,71,105,1,1,2.37,85,2,144,1,193
36,124,3.4,1.8,80,1,1,66,93,1,1,2.33,80,3,126,1,223
41,121,4.1,2.2,76,1,1,65,77,1,1,2.4,81,3,155,1,232
48,63,1.9,0.5,91,1,1,69,35,1,1,2.4,90,2,73,1,272
37,68,2.2,0.8,88,1,1,71,51,1,1,2.4,88,2,132,1,207
22,52,2.9,1.2,88,1,1,78,97,1,1,2.31,89,2,110,1,124
43,70,1.9,0.6,89,1,1,70,39,1,1,2.4,89,2,83,1,241
38,96,3.6,1.6,83,1,1,69,73,1,1,2.4,85,2,127,1,217
32,88,2.7,1.3,83,1,1,72,71,1,1,2.31,85,2,116,1,182
22,56,2.5,1.2,88,1,1,78,144,1,1,2.45,89,2,109,1,125
39,129,6.5,3.5,76,1,1,61,104,1,1,2.4,78,3,162,1,241
36,170,1.9,1.6,78,1,1,72,91,1,1,2.36,76,2,75,1,206
38,107,3.0,1.5,81,1,1,68,74,1,1,2.38,83,3,98,1,217
19,106,1.1,1.1,85,1,1,81,58,1,1,2.4,81,1,85,1,106
31,82,2.7,1.1,86,1,1,70,68,1,1,2.4,85,2,107,1,190
32,96,2.7,1.5,83,1,1,73,78,1,1,2.4,85,2,96,1,183
14,82,1.2,1.2,87,1,1,84,89,1,1,2.43,84,1,108,1,82
38,97,2.6,1.2,83,1,1,69,57,1,1,2.28,85,2,121,1,218
17,97,1.2,1.2,85,1,1,82,66,1,1,2.4,82,1,97,1,97
38,132,3.2,2.0,79,1,1,70,67,1,1,2.31,82,2,121,1,214
31,70,2.2,0.9,87,1,1,73,90,1,1,2.3,88,2,115,1,174
31,107,4.2,2.6,78,1,1,71,107,1,1,2.4,82,2,129,1,175
40,62,3.1,0.9,89,1,1,69,63,1,1,2.36,90,2,86,1,227
22,72,3.0,1.8,84,1,1,78,129,1,1,2.4,87,2,108,1,125
48,84,3.1,1.0,85,1,1,63,55,1,1,2.4,86,3,88,1,273
31,104,3.2,1.9,82,1,1,73,98,1,1,2.39,84,2,128,1,174
39,80,3.5,1.3,84,1,1,67,72,1,1,2.4,86,3,180,1,223
40,81,2.9,1.1,85,1,1,68,66,1,1,2.3,87,3,84,1,228
40,113,4.4,2.8,71,1,1,68,105,1,1,2.42,80,3,124,1,192
27,94,3.5,2.2,81,1,1,75,92,1,1,2.27,84,2,139,1,151
56,81,4.5,1.2,85,1,1,57,90,1,1,2.28,86,3,81,1,315
23,128,1.3,1.3,83,1,1,80,52,1,1,2.32,80,2,96,1,128
14,19,1.6,0.4,95,1,1,84,85,1,1,2.44,94,1,97,1,82
32,120,5.8,3.5,78,1,1,67,218,1,1,2.4,80,3,147,1,197
38,103,3.3,1.6,83,1,1,69,71,1,1,2.38,85,2,143,1,218
47,187,1.9,1.3,78,1,1,69,45,1,1,2.38,75,2,68,1,265
35,168,2.0,1.7,76,1,1,72,63,1,1,2.4,75,2,85,1,201
35,88,2.7,1.2,84,1,1,70,77,1,1,2.4,85,2,130,1,197
45,128,5.8,3.8,67,1,1,65,92,1,1,2.49,78,3,130,1,212
43,200,1.9,1.5,76,1,1,70,45,1,1,2.4,74,2,79,1,245
39,121,5.5,3.1,76,1,1,66,101,1,1,2.33,81,3,145,1,219
35,121,4.2,2.3,78,1,1,64,86,1,1,2.4,79,3,88,1,218
61,130,4.2,1.4,83,1,1,54,56,1,1,2.4,83,4,85,1,385
40,50,2.6,0.6,89,1,1,68,64,1,1,2.4,89,3,82,1,225
24,131,1.4,1.3,82,1,1,78,89,1,1,2.31,79,2,81,1,138
38,80,3.1,1.2,85,1,1,68,66,1,1,2.42,86,3,83,1,218
13,73,0.9,0.9,89,1,1,84,59,1,1,2.35,84,1,83,1,73
32,60,2.0,0.7,89,1,1,73,52,1,1,2.4,89,2,95,1,182
29,65,2.2,0.9,88,1,1,74,125,1,1,2.4,89,2,98,1,163
30,47,1.8,0.5,92,1,1,76,66,1,1,2.31,91,2,73,1,171
30,172,1.2,1.2,81,1,1,77,40,1,1,2.5,77,2,71,1,172
42,207,1.9,1.7,75,1,1,71,41,1,1,2.38,74,2,102,1,240
47,117,3.8,1.7,79,1,1,61,67,1,1,2.4,80,3,154,1,266
21,56,2.4,1.2,87,1,1,79,89,1,1,2.44,89,2,113,1,118
19,106,1.7,1.7,81,1,1,79,74,1,1,2.4,79,2,105,1,106
30,172,1.4,1.4,80,1,1,77,41,1,1,2.2,77,2,72,1,172
21,120,1.0,1.0,84,1,1,80,41,1,1,2.4,80,2,68,1,120
36,77,3.4,1.3,85,1,1,69,75,1,1,2.2,87,2,81,1,204
44,175,2.3,1.6,78,1,1,69,64,1,1,2.44,76,2,94,1,251
59,246,2.5,1.9,70,1,1,62,38,1,1,2.4,70,3,77,1,335
38,108,4.9,2.5,79,1,1,67,118,1,1,2.35,83,3,107,1,216
23,130,1.4,1.4,81,1,1,79,55,1,1,2.3,79,2,78,1,130
41,104,2.5,1.2,83,1,1,68,85,1,1,2.49,85,3,83,1,231
39,169,2.6,2.0,76,1,1,70,58,1,1,2.3,75,2,82,1,220
49,122,4.9,2.3,74,1,1,58,78,1,1,2.43,79,3,146,1,270
37,126,5.8,3.5,72,1,1,65,156,1,1,2.44,78,3,132,1,209
25,140,1.2,1.2,82,1,1,78,47,1,1,2.36,78,2,99,1,140
51,62,2.1,0.5,91,1,1,67,44,1,1,2.39,90,3,68,1,286
41,82,3.2,1.2,85,1,1,67,63,1,1,2.4,86,3,159,1,232
30,155,1.6,1.4,79,1,1,76,46,1,1,2.27,77,2,71,1,170
56,89,4.4,1.3,85,1,1,59,65,1,1,2.46,86,3,110,1,316
50,86,4.1,1.3,86,1,1,63,67,1,1,2.41,87,3,121,1,281
31,106,4.3,2.6,78,1,1,69,119,1,1,2.4,80,2,137,1,176
26,119,2.0,1.7,80,1,1,81,65,1,1,2.36,84,1,85,1,143
37,109,3.9,2.1,78,1,1,67,118,1,1,2.4,82,3,137,1,210
38,76,2.4,0.9,86,1,1,70,77,1,1,2.34,87,2,110,1,215
40,130,3.4,2.0,78,1,1,68,91,1,1,2.4,82,3,124,1,228
